fips,average_20,complete_20,average_48,complete_48,average_50,complete_50,average_75,complete_75
US55015,10,1,27,29,27,29,27,29
US55017,10,1,27,29,27,29,27,29
US55019,10,1,27,29,27,29,27,29
US55021,10,1,27,29,27,29,27,29
US55023,10,3,27,18,27,18,27,23
US55025,10,1,27,29,27,29,27,29
US55027,10,1,27,29,27,29,27,29
US55029,10,1,27,29,27,29,27,29
US55031,0,4,45,28,45,28,22,6
US55033,10,1,27,29,27,29,27,29
US55035,10,1,27,29,27,29,27,29
US55037,2,3,9,4,9,0,23,3
US55039,10,1,27,29,27,29,27,29
US55041,2,3,9,4,9,0,23,5
US55043,10,3,27,18,27,18,27,23
US55045,10,1,19,29,19,29,64,29
US55047,2,3,9,4,9,0,55,5
US55049,10,3,27,4,27,0,27,5
US55051,2,3,9,4,9,0,70,3
US55053,10,1,27,29,27,29,27,29
US55055,10,1,27,29,27,29,27,29
US55057,10,1,27,29,27,29,27,29
US55059,10,1,27,29,27,29,27,29
US55061,10,1,27,29,27,29,27,29
US55063,0,4,45,20,45,4,22,9
US55065,10,3,27,4,27,0,27,5
US55067,10,3,27,4,27,0,27,5
US55069,10,1,27,29,27,29,27,29
US55071,10,1,27,29,27,29,27,29
US55073,10,1,27,29,27,29,27,29
US55075,10,3,27,4,27,0,27,3
US55077,2,3,9,4,9,0,55,5
US55078,2,3,9,4,9,0,23,5
US55079,10,1,27,29,27,29,27,29
US55081,10,1,27,29,27,29,27,29
US55083,10,1,27,29,27,29,27,29
US55085,2,3,9,4,9,0,70,3
US55087,10,1,27,29,27,29,27,29
US55089,10,1,27,29,27,29,27,29
US55091,2,3,9,22,9,22,23,0
US55093,0,3,45,12,45,12,22,18
US55095,0,3,45,12,45,12,22,18
US55097,10,1,27,29,27,29,27,29
US55099,2,3,9,4,9,0,70,3
US55101,10,1,27,29,27,29,27,29
US55103,10,3,27,18,27,18,27,23
US55105,10,1,27,29,27,29,27,29
US55107,0,3,45,4,45,0,22,3
US55109,0,3,45,12,45,12,22,18
US55111,10,1,27,29,27,29,27,29
US55113,0,3,45,12,45,12,22,18
US55115,10,1,27,29,27,29,27,29
US55117,10,1,27,29,27,29,27,29
US55119,10,3,27,4,27,0,27,5
US55121,2,3,9,22,9,22,23,0
US55123,10,3,27,18,27,18,27,23
US55125,2,3,9,4,9,0,70,3
US55127,10,1,27,29,27,29,27,29
US55129,0,3,45,12,45,12,22,18
US55131,10,1,27,29,27,29,27,29
US55133,10,1,27,29,27,29,27,29
US55135,10,1,27,29,27,29,27,29
US55137,2,3,9,4,9,0,55,5
US55139,10,1,27,29,27,29,27,29
US55141,10,1,27,29,27,29,27,29
US56001,3,13,46,5,46,5,4,68
US56003,3,13,46,5,46,5,4,68
US56005,3,13,46,5,46,5,4,68
US56007,3,3,46,23,46,23,4,15
US56009,3,13,46,5,46,5,4,68
US56011,3,3,46,23,46,23,4,15
US56013,3,13,46,5,46,5,4,68
US56015,0,15,13,32,13,32,13,66
US56017,3,13,46,5,46,5,4,68
US56019,3,13,46,5,46,5,4,68
US56021,3,13,46,5,46,5,4,68
US56023,2,3,9,4,9,0,23,5
US56025,3,13,46,5,46,5,4,68
US56027,2,3,9,4,9,0,23,5
US56029,3,13,46,5,46,5,4,68
US56031,2,13,9,5,9,5,23,68
US56033,3,13,46,5,46,5,4,68
US56035,2,3,9,4,9,0,23,5
US56037,3,3,46,23,46,23,4,15
US56039,3,13,46,5,46,5,4,68
US56041,3,3,46,23,46,23,4,15
US56043,3,13,46,5,46,5,4,68
US56045,2,3,9,4,9,0,23,3
